9.866,-1.904,7.212
9.810,-2.268,7.471
9.614,-2.498,7.288
8.979,-2.436,6.727
7.923,-2.236,6.193
7.203,-1.927,6.378
7.195,-1.579,7.293
7.527,-1.350,8.266
7.798,-1.189,8.889
7.525,-1.004,8.907
6.845,-0.774,8.516
6.154,-0.519,7.989
5.451,-0.305,7.344
4.784,-0.149,6.571
4.037,0.040,5.687
3.527,0.214,5.081
3.834,0.176,5.007
4.663,-0.077,5.108
5.160,-0.223,5.118
5.941,-0.620,5.403
6.917,-1.021,5.803
7.866,-1.258,6.228
8.767,-1.425,6.463
8.990,-1.497,6.450
8.990,-1.497,6.450
8.990,-1.497,6.450
9.018,-1.522,6.402
8.812,-1.618,5.787
8.537,-1.556,5.402
7.770,-1.467,5.045
7.256,-1.409,5.282
7.338,-1.414,5.888
7.768,-1.340,6.763
7.906,-1.105,7.504
7.654,-1.016,8.028
7.475,-1.009,8.518
7.149,-0.951,8.564
6.663,-0.766,8.261
6.041,-0.601,7.770
5.332,-0.379,7.240
4.643,-0.083,6.588
3.835,0.141,5.617
3.499,0.359,4.919
3.985,0.288,5.030
4.881,-0.036,5.446
6.081,-0.537,6.151
7.622,-1.068,6.847
8.760,-1.325,7.241
9.573,-1.482,7.430
10.201,-1.686,7.677
10.624,-1.987,7.756
10.778,-2.088,7.486
10.774,-2.376,7.614
10.545,-2.593,7.427
10.019,-2.543,6.932
9.034,-2.304,6.282
8.127,-2.042,5.892
7.900,-1.744,6.440
8.426,-1.452,7.606
8.487,-1.235,8.457
8.156,-1.168,8.910
7.680,-1.031,8.838
6.902,-0.653,8.503
5.943,-0.345,7.794
5.091,-0.044,6.987
4.385,0.231,6.266
3.749,0.416,5.548
3.571,0.405,5.223
3.948,0.140,5.328
4.490,-0.139,5.361
5.283,-0.471,5.488
6.434,-1.045,5.719
7.505,-1.267,6.084
8.479,-1.412,6.335
8.888,-1.484,6.113
8.872,-1.421,5.815
8.775,-1.518,5.702
8.642,-1.797,5.589
8.355,-1.894,5.242
7.933,-1.818,4.960
7.420,-1.810,4.857
7.065,-1.771,4.993
7.076,-1.552,5.771
7.527,-1.420,6.728
7.687,-1.280,7.298
7.528,-1.199,7.799
7.335,-1.210,8.087
7.061,-1.219,8.240
6.716,-1.014,8.175
6.215,-0.739,7.809
5.571,-0.416,7.340
4.927,-0.122,6.876
4.536,0.165,6.572
4.593,0.386,6.567
5.103,0.353,6.684
5.895,0.118,6.854
6.720,-0.056,7.131
7.509,-0.359,7.363
7.977,-0.700,7.195
8.459,-1.100,6.999
9.162,-1.440,7.016
9.751,-1.640,7.077
10.089,-1.786,6.801
9.955,-1.755,6.349
9.318,-1.956,5.946
8.546,-2.154,5.464
7.827,-2.093,5.214
7.740,-1.993,5.579
8.509,-2.042,6.426
9.097,-1.860,7.352
8.803,-1.646,7.917
8.245,-1.450,8.394
7.581,-1.368,8.407
6.775,-1.118,8.219
6.196,-0.716,7.879
5.697,-0.274,7.456
5.209,0.044,7.035
4.954,0.216,6.828
5.224,0.237,6.892
5.753,0.118,6.998
6.334,-0.047,7.055
7.239,-0.342,7.320
8.265,-0.843,7.430
8.890,-1.199,7.157
9.391,-1.361,6.987
9.867,-1.420,7.036
10.108,-1.505,6.944
10.011,-1.554,6.485
9.558,-1.551,5.917
9.077,-1.600,5.592
8.398,-1.786,5.426
7.959,-1.867,5.361
8.112,-1.924,5.858
8.502,-1.962,6.430
8.581,-1.842,7.005
8.315,-1.641,7.490
7.737,-1.437,7.856
7.059,-1.310,7.933
6.481,-1.021,7.881
6.291,-0.677,7.668
6.081,-0.327,7.454
5.839,0.042,7.269
5.832,0.398,7.479
6.133,0.497,7.829
